Time,System,BAND,PRN,ROC,MIN_elv,MAX_elv,MEAN_AZI,RH,trop_c,tidal_cor
01-Jan-2023 00:22:00,BDS,S1P,39,5604.52013413423,7.92069116287824,12.8323239419048,52.0706158693431,9.58041490939489,0.102402779112779,-0.38552500357182
01-Jan-2023 00:16:30,BDS,S2I,16,3197.34711293394,5.57648321199016,10.4715492455,59.9304797530487,9.56102865606791,0.152431250868212,-0.207362334273717
01-Jan-2023 00:22:00,BDS,S2I,39,5604.52013413423,7.92069116287824,12.8323239419048,52.0706158693431,9.6013936750672,0.0962815302381017,-0.38552500357182
01-Jan-2023 00:34:00,BDS,S2I,16,4723.60418085756,8.05899268667419,12.9728350876502,57.8506201602417,9.66633461235312,0.0928487235374948,-0.363145159350413
01-Jan-2023 00:41:15,BDS,S2I,9,3335.69221383624,7.67481995306352,12.5659653422591,75.2363199649685,9.69235711233702,0.0986323820282298,-0.271563955502537
01-Jan-2023 00:42:15,BDS,S2I,6,4755.6421010946,8.84904364435768,13.7180947414974,62.9020391922791,9.72699849000075,0.0832593870374367,-0.390031452936224
01-Jan-2023 00:51:30,BDS,S2I,43,-2882.84102336285,12.7023659595688,17.5354674990314,117.829030541603,9.66329308518445,0.0458700500859806,0.251736912930188
01-Jan-2023 00:53:45,BDS,S2I,42,-2277.61794782515,10.1139186621877,14.9893242213167,39.5189784208351,9.61176405190426,0.0618576820573296,0.201655802353161
01-Jan-2023 00:59:30,BDS,S2I,43,-2369.7904587102,10.1194952399305,14.9596742139216,119.877574047924,10.0142174482523,0.0663857876276843,0.216846534301434
01-Jan-2023 00:22:00,BDS,S5P,39,5604.52013413423,7.92069116287824,12.8323239419048,52.0706158693431,9.61239590187624,0.0951911422999778,-0.38552500357182
01-Jan-2023 00:43:45,BDS,S5P,43,-3393.61786421009,15.1207945813305,20.1061540504728,115.759125540547,9.87331455137737,0.0338540606753899,0.281359388828383
01-Jan-2023 00:53:45,BDS,S5P,42,-2277.61794782515,10.1139186621877,14.9893242213167,39.5189784208351,9.80718158186404,0.065446380291835,0.201655802353161
01-Jan-2023 00:16:30,BDS,S6I,16,3197.34711293394,5.57648321199016,10.4715492455,59.9304797530487,9.69661646487401,0.152497020230498,-0.207362334273717
01-Jan-2023 00:34:00,BDS,S6I,16,4723.60418085756,8.05899268667419,12.9728350876502,57.8506201602417,9.7770634050267,0.0956856359932967,-0.363145159350413
01-Jan-2023 00:36:00,BDS,S6I,43,-3920.5956169943,17.6962936630491,22.5108405502253,113.608313248504,9.43174023359181,0.0247937871754011,0.306422540350852
01-Jan-2023 00:41:15,BDS,S6I,9,3335.69221383624,7.67481995306352,12.5659653422591,75.2363199649685,9.93712283145525,0.10309234166435,-0.271563955502537
01-Jan-2023 00:42:15,BDS,S6I,6,4755.6421010946,8.84904364435768,13.7180947414974,62.9020391922791,9.88008477027361,0.0827027611867805,-0.390031452936224
01-Jan-2023 00:43:45,BDS,S6I,43,-3393.61786421009,15.1207945813305,20.1061540504728,115.759125540547,10.013892418309,0.033426880656231,0.281359388828383
01-Jan-2023 00:46:15,BDS,S6I,42,-2783.85179073319,12.6464239422817,17.4666849487892,40.1652278560302,9.62728595751152,0.044802341330092,0.234873885161197
01-Jan-2023 00:55:00,BDS,S6I,9,4380.16729260192,10.1249208145069,15.0495529013502,73.7646180604685,9.91360573909365,0.0685975991245158,-0.390711563901029
01-Jan-2023 00:59:30,BDS,S6I,43,-2369.7904587102,10.1194952399305,14.9596742139216,119.877574047924,9.67889017252118,0.0623890306219987,0.216846534301434
01-Jan-2023 00:16:30,BDS,S7I,16,3197.34711293394,5.57648321199016,10.4715492455,59.9304797530487,9.72598206491129,0.154632717085926,-0.207362334273717
01-Jan-2023 00:34:00,BDS,S7I,16,4723.60418085756,8.05899268667419,12.9728350876502,57.8506201602417,9.76171525413183,0.0953734872800549,-0.363145159350413
01-Jan-2023 00:41:15,BDS,S7I,9,3335.69221383624,7.67481995306352,12.5659653422591,75.2363199649685,9.81584293229065,0.099107677325188,-0.271563955502537
01-Jan-2023 00:42:15,BDS,S7I,6,4755.6421010946,8.84904364435768,13.7180947414974,62.9020391922791,9.88311550749964,0.0850381909304812,-0.390031452936224
01-Jan-2023 00:55:00,BDS,S7I,9,4380.16729260192,10.1249208145069,15.0495529013502,73.7646180604685,9.84667028704631,0.0691110695630606,-0.390711563901029
01-Jan-2023 00:13:00,GALILEO,S1C,31,-1357.84917397551,5.22815183123713,9.93434708324824,185.342480847452,9.48507363856733,0.162192223530724,0.0845710015459
01-Jan-2023 00:53:15,GALILEO,S1C,33,-3654.60940181435,11.9638374500653,16.9299901417608,88.3285112008199,9.67313613356236,0.0470910664560922,0.322594333871983
01-Jan-2023 00:15:15,GALILEO,S5Q,4,2120.35629965405,9.22590165997773,14.0628914814009,161.324033369703,9.50345531886077,0.0743390984814081,-0.135579915550059
01-Jan-2023 00:22:45,GALILEO,S5Q,4,2540.87060358993,11.6999156660156,16.648600296503,160.428363239968,9.90213653450918,0.0533060240371324,-0.176118173916665
01-Jan-2023 00:43:00,GALILEO,S5Q,33,-4287.95311523537,14.4995221548524,19.3814500963797,85.3003288253232,9.91847608735553,0.0358720355542861,0.35359746806327
01-Jan-2023 00:44:15,GALILEO,S5Q,4,3798.89482417463,19.2860128364968,24.1491785082249,157.898124435687,9.21991715034034,0.0221317595306409,-0.316081582463735
01-Jan-2023 00:54:30,GALILEO,S5Q,24,-3892.99098569429,18.8087726663594,23.6038350268975,218.101993367349,9.73287761462161,0.0234074690398227,0.346228741672954
